"","ID","understanding_score","pl1_understanding","pl2_understanding","score_corrected","rank","filename","binary_score","gen","parent_ID","n_miss","parent_understanding_score","parent_pl1_understanding","parent_pl2_understanding","parent_score_corrected","parent_rank","parent_filename","parent_ADVICE","parent_gen","parent_binary_score","parent_n_miss"
"1","575865ba7b74a80006de2689",0.350785383598214,0.902380952371429,-0.200810185175,0.84375,15,"908848_experiment_2024-10-01_09h22.48.378.csv",0.57421875,1,"fake 89",0,0,0,0,0,0,"None","None",0,NA,NA
"2","575b2b408b705300078ae5e6",0.245499563964643,0.452087973929286,0.038911154,-0.0476190476190474,71,"961729_experiment_2024-10-01_17h19.23.734.csv",0.55078125,1,"fake 96",4,0,0,0,0,0,"None","None",0,NA,NA
"3","57b76ef5017c2d000166f019",0.109449404758929,0.235449735442857,-0.016550925925,0.52952755905512,30,"223814_experiment_2024-10-01_17h28.15.857.csv",0.60546875,1,"fake 17",2,0,0,0,0,0,"None","None",0,NA,NA
"4","57ff8c2d90de420001673aa0",0.0843236529660714,0.136036448007143,0.032610857925,0.245098039215687,53,"687549_experiment_2024-10-01_17h24.29.298.csv",0.53515625,1,"fake 59",1,0,0,0,0,0,"None","None",0,NA,NA
"5","5848ad3bdb871400012da095",0.26984955038125,0.47453707195,0.0651620288125,-0.614583333333332,96,"247730_experiment_2024-10-01_10h28.44.942.csv",0.53515625,1,"fake 21",16,0,0,0,0,0,"None","None",0,NA,NA
"6","58497529bd87380001552f71",0.0444981944303571,0.133223094635714,-0.044226705775,0.456521739130435,36,"400768_experiment_2024-10-01_17h20.44.962.csv",0.58203125,1,"fake 40",3,0,0,0,0,0,"None","None",0,NA,NA
"7","5967e16cdfb5120001605ef5",0.444469233029464,0.636044956371429,0.2528935096875,0.52788844621514,31,"372469_experiment_2024-10-01_17h38.15.614.csv",0.59375,1,"fake 36",5,0,0,0,0,0,"None","None",0,NA,NA
"8","597b81f3de42bf000181db0b",0.963764880954464,0.928571428571429,0.9989583333375,0.407114624505928,40,"933197_experiment_2024-10-01_11h22.19.921.csv",0.609375,1,"fake 93",3,0,0,0,0,0,"None","None",0,NA,NA
"9","5997043dbbe84800017964a7",0.191855158724286,0.370238095223571,0.013472222225,0.472332015810277,34,"358535_experiment_2024-10-01_17h19.18.245.csv",0.58203125,1,"fake 31",3,0,0,0,0,0,"None","None",0,NA,NA
"10","59d3ef2c078dbe000195117f",0.338930221963393,0.671957660864286,0.0059027830625,-0.00588235294117645,67,"874092_experiment_2024-10-01_17h22.26.747.csv",0.5625,1,"fake 85",1,0,0,0,0,0,"None","None",0,NA,NA
"11","59e71a3b1ac65d0001eb47ac",0.0489422342071429,0.0998068104642857,-0.00192234205,-0.521653543307085,95,"210141_experiment_2024-10-01_17h24.35.347.csv",0.515625,1,"fake 15",2,0,0,0,0,0,"None","None",0,NA,NA
"12","5a52a04cacc75b000179cd4c",0.151041645463929,0.349537001702857,-0.047453710775,0.178137651821862,58,"993117_experiment_2024-10-01_17h12.47.880.csv",0.5390625,1,"fake 100",9,0,0,0,0,0,"None","None",0,NA,NA
"13","5a96e1e735237b0001127123",0.0943286955017857,0.159259241078571,0.029398149925,-0.257575757575758,83,"736827_experiment_2024-10-01_17h09.54.239.csv",0.4921875,1,"fake 65",25,0,0,0,0,0,"None","None",0,NA,NA
"14","5b29585924931e0001198e11",0.392898478843214,0.784060846561429,0.00173611112499999,-0.496015936254979,94,"755022_experiment_2024-10-01_17h06.39.362.csv",0.45703125,1,"fake 71",5,0,0,0,0,0,"None","None",0,NA,NA
"15","5b9fa25e7b196f000195fd78",0.283829365074107,0.567195767185714,0.000462962962499995,-0.106299212598424,75,"733174_experiment_2024-10-01_17h15.00.704.csv",0.5546875,1,"fake 64",2,0,0,0,0,0,"None","None",0,NA,NA
"16","5bc0ac845a09ea00012e2d30",0.303098601800179,0.645682156362857,-0.0394849527625,0.943999999999999,12,"715330_experiment_2024-10-01_12h05.52.658.csv",0.63671875,1,"fake 63",6,0,0,0,0,0,"None","None",0,NA,NA
"17","5c082f58b5b7c80001dd5bf4",-0.197519853941964,-0.280687856921429,-0.1143518509625,1.29795918367347,6,"742058_experiment_2024-10-01_12h14.43.676.csv",0.58984375,1,"fake 67",11,0,0,0,0,0,"None","None",0,NA,NA
"18","5c0ec45b05ed100001f7861e",0.0756531084651786,0.155357142842857,-0.00405092591249999,0.791338582677167,19,"547301_experiment_2024-10-01_09h27.46.386.csv",0.62109375,1,"fake 47",2,0,0,0,0,0,"None","None",0,NA,NA
"19","5ccb9a7eac174f001808e30e",0.315740740746696,0.535648148157143,0.09583333333625,-0.759036144578314,98,"482329_experiment_2024-10-01_12h19.54.020.csv",0.46484375,1,"fake 44",7,0,0,0,0,0,"None","None",0,NA,NA
"20","5d461b8e96f6f0001a0c191b",-0.0451246612860714,-0.0389195275721429,-0.051329795,0.023109243697478,62,"977859_experiment_2024-10-01_17h23.35.736.csv",0.5078125,1,"fake 98",18,0,0,0,0,0,"None","None",0,NA,NA
"21","5e10c664e7802178da96078a",0.108816964286607,0.212714947085714,0.00491898148749999,0.250980392156864,52,"612230_experiment_2024-10-01_17h26.44.300.csv",0.57421875,1,"fake 53",1,0,0,0,0,0,"None","None",0,NA,NA
"22","5e378948cd9d1670b2b86a51",0.333159721710179,0.599999995457857,0.0663194479625,-0.338582677165354,89,"345175_experiment_2024-10-01_11h23.44.425.csv",0.5390625,1,"fake 28",2,0,0,0,0,0,"None","None",0,NA,NA
"23","5e6550ab777c592d731cc94b",0.0375661275991071,-0.0322751469142857,0.1074074021125,-0.121951219512194,77,"437928_experiment_2024-10-01_09h21.51.149.csv",0.5234375,1,"fake 43",10,0,0,0,0,0,"None","None",0,NA,NA
"24","5e67f0321e4f0a0a657c1d08",0.0191881613875,0.0958994709,-0.057523148125,-0.125498007968128,78,"069882_experiment_2024-10-01_12h24.01.415.csv",0.55859375,1,"fake 4",5,0,0,0,0,0,"None","None",0,NA,NA
"25","5e9af03313028a17f82e1631",0.360209456507857,0.707569820535714,0.01284909248,0.581673306772908,26,"527483_experiment_2024-10-01_17h25.19.698.csv",0.5625,1,"fake 45",5,0,0,0,0,0,"None","None",0,NA,NA
"26","5eefae66afa4e549ac714f73",0.487549603172321,0.786904761907143,0.1881944444375,0.796078431372548,18,"349025_experiment_2024-10-01_17h11.08.175.csv",0.64453125,1,"fake 29",1,0,0,0,0,0,"None","None",0,NA,NA
"27","5f49c98fc6a7d052d3935266",0.0733738525622321,0.0775960986857143,0.06915160643875,-0.00462962962962976,66,"071933_experiment_2024-10-01_17h29.17.109.csv",0.5,1,"fake 5",40,0,0,0,0,0,"None","None",0,NA,NA
"28","5f53f6458dff8f755bac4a9d",0.197375897763036,0.404563843263571,-0.0098120477375,-0.22156862745098,82,"261742_experiment_2024-10-01_17h05.30.310.csv",0.50390625,1,"fake 23",1,0,0,0,0,0,"None","None",0,NA,NA
"29","5f5d6b0def06255d5119a9ba",0.244072413058929,0.488955004242857,-0.000810178124999998,0.83195020746888,16,"818525_experiment_2024-10-01_11h24.37.564.csv",0.57421875,1,"fake 81",15,0,0,0,0,0,"None","None",0,NA,NA
"30","5fbe5815ac295e370d46b29f",0.0520368303508929,0.186104910714286,-0.0820312500125,0.0142857142857142,64,"926175_experiment_2024-10-01_17h13.33.727.csv",0.546875,1,"fake 91",11,0,0,0,0,0,"None","None",0,NA,NA
"31","5fc3f52bc7a6322df9a0f857",0.427711640213929,0.809126984127857,0.0462962963,0.739130434782608,21,"895283_experiment_2024-10-01_17h15.13.000.csv",0.5625,1,"fake 86",3,0,0,0,0,0,"None","None",0,NA,NA
"32","5ff669ef0d726a203b4f1f99",0.207681405893036,0.418934240348571,-0.0035714285625,-0.930555555555555,100,"125830_experiment_2024-10-01_11h29.36.423.csv",0.48828125,1,"fake 9",4,0,0,0,0,0,"None","None",0,NA,NA
"33","6002ae1ea178912bfa128adf",0.155390133298214,0.357142814246429,-0.04636254765,0.00988142292490046,65,"809204_experiment_2024-10-01_17h11.42.169.csv",0.53515625,1,"fake 79",3,0,0,0,0,0,"None","None",0,NA,NA
